"omsi1indian","omsi1western","gender","age","participant","Expertise","Interval","tensionrating","Group","musicianship","musicianshipW","musicianshipI","ExpertiseN"
"Music-loving nonmusician","Music-loving nonmusician","Male",29,"I1",2,"m2",5,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",16.6666666666667
"Music-loving nonmusician","Music-loving nonmusician","Female",61,"I2",2,"m2",2,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",16.6666666666667
"Nonmusician","Nonmusician","Male",25,"I3",2,"m2",4,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",16.6666666666667
"Music-loving nonmusician","Music-loving nonmusician","Male",23,"I4",2,"m2",2,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",16.6666666666667
"Music-loving nonmusician","Music-loving nonmusician","Male",18,"I5",0,"m2",5,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",0
"Nonmusician","Nonmusician","Male",22,"I6",1,"m2",1,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",8.33333333333333
"Nonmusician","Nonmusician","Male",25,"I7",1,"m2",4,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",8.33333333333333
"Nonmusician","Nonmusician","Female",25,"I8",2,"m2",2,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",16.6666666666667
"Nonmusician","Nonmusician","Female",26,"I9",1,"m2",3,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",8.33333333333333
"Nonmusician","Nonmusician","Female",20,"I10",2,"m2",6,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",16.6666666666667
"Music-loving nonmusician","Music-loving nonmusician","Male",18,"I11",2,"m2",4,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",16.6666666666667
"Music-loving nonmusician","Music-loving nonmusician","Female",21,"I12",2,"m2",1,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",16.6666666666667
"Nonmusician","Nonmusician","Male",25,"I13",2,"m2",3,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",16.6666666666667
"Music-loving nonmusician","Music-loving nonmusician","Male",25,"I14",2,"m2",2,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",16.6666666666667
"Nonmusician","Nonmusician","Female",29,"I15",1,"m2",2,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",8.33333333333333
"Music-loving nonmusician","Music-loving nonmusician","Male",23,"I16",1,"m2",4,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",8.33333333333333
"Nonmusician","Nonmusician","Female",24,"I17",1,"m2",6,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",8.33333333333333
"Music-loving nonmusician","Music-loving nonmusician","Female",31,"I18",2,"m2",5,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",16.6666666666667
"Nonmusician","Nonmusician","Female",21,"I19",2,"m2",2,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",16.6666666666667
"Nonmusician","Nonmusician","Male",19,"I20",1,"m2",5,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",8.33333333333333
"Music-loving nonmusician","Music-loving nonmusician","Male",26,"I21",0,"m2",3,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",0
"Music-loving nonmusician","Music-loving nonmusician","Male",63,"I22",1,"m2",1,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",8.33333333333333
"Music-loving nonmusician","Music-loving nonmusician","Female",27,"I23",0,"m2",5,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",0
"Music-loving nonmusician","Music-loving nonmusician","Female",25,"I24",2,"m2",5,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",16.6666666666667
"Nonmusician","Nonmusician","Female",27,"I25",2,"m2",3,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",16.6666666666667
"Nonmusician","Nonmusician","Male",27,"I26",2,"m2",6,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",16.6666666666667
"Music-loving nonmusician","Music-loving nonmusician","Male",29,"I1",2,"M2",5,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",16.6666666666667
"Music-loving nonmusician","Music-loving nonmusician","Female",61,"I2",2,"M2",2,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",16.6666666666667
"Nonmusician","Nonmusician","Male",25,"I3",2,"M2",6,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",16.6666666666667
"Music-loving nonmusician","Music-loving nonmusician","Male",23,"I4",2,"M2",3,"Indian - non-musicians","Non-Musician","Non-Musician","Non-Musician",16.6666666666667
